"Pipeline name","Run start","Run end","Duration","Triggered by","Status","Error","Run","Parameters","Annotations","Run ID"
"03_Databricks_Transformation","5/5/2026, 9:20:00 PM","5/5/2026, 9:22:20 PM","2m 20s","419e9e93-ad9f-4fc0-a165-469910804e7c","Succeeded","","Original","","[]","43131c2e-c1e5-4554-b986-992ebe1a62aa"
"02_PL_Incremental_Copy","5/5/2026, 9:19:20 PM","5/5/2026, 9:19:59 PM","40s","32aec55f-042c-48fa-a025-5b2454fa4244","Succeeded","","Original","","[]","52b61924-6dfa-4eb2-8001-1a63c72bb684"
"01_Master_Pipeline","5/5/2026, 9:19:13 PM","5/5/2026, 9:22:21 PM","3m 8s","Manual trigger","Succeeded","","Original","","[]","4daed89a-0739-4507-956a-bf02a53a9de6"
"03_Databricks_Transformation","5/5/2026, 9:03:57 PM","5/5/2026, 9:11:29 PM","7m 32s","32829ea3-fe38-4a86-aae0-4225aa56dc24","Succeeded","","Original","","[]","5c977b67-9e7b-48cc-b20b-d5a5427be696"
"02_PL_Incremental_Copy","5/5/2026, 9:03:34 PM","5/5/2026, 9:03:55 PM","21s","4a6e1584-1f4d-4c2c-b8c6-b319ba0e6052","Succeeded","","Original","","[]","8c3d0388-0cec-4b01-8554-3556a5581eab"
"01_Master_Pipeline","5/5/2026, 9:03:27 PM","5/5/2026, 9:11:30 PM","8m 4s","Manual trigger","Succeeded","","Original","","[]","b6522163-0920-4bab-b6d0-4025b780c77e"
"03_Databricks_Transformation","5/5/2026, 8:45:25 PM","5/5/2026, 8:45:50 PM","25s","27bab57e-6640-472b-ba5c-8af80b2e61c3","Failed","Operation on target Config_Connection_Notebook failed: Databricks execution failed with error state: InternalError, error message: Unable to access the notebook ""/Repos/prathameshbpatil8512@gmail.com/dev-sales/databricks/02_Config_Connection"". Either it does not exist, or the identity used to run this job, Prathamesh Patil (prathameshbpatil8512@gmail.com), lacks the required permissions.. For more details please check the run page url: https://adb-7405611128607291.11.azuredatabricks.net/?o=7405611128607291#job/129637702901471/run/52319627362515.","Original","","[]","cceb086b-6f5d-4f8b-8704-074313aec3b8"
"02_PL_Incremental_Copy","5/5/2026, 8:44:45 PM","5/5/2026, 8:45:24 PM","39s","e2e0ee7d-f443-4e89-80b8-866223f4b505","Succeeded","","Original","","[]","ed630a8b-02a2-4fd6-bddc-b2ba1ba8c40c"
"01_Master_Pipeline_Github","5/5/2026, 8:44:37 PM","5/5/2026, 8:45:51 PM","1m 15s","Manual trigger","Failed","Operation on target Pipeline_Databricks_Transformation failed: Operation on target Config_Connection_Notebook failed: Databricks execution failed with error state: InternalError, error message: Unable to access the notebook ""/Repos/prathameshbpatil8512@gmail.com/dev-sales/databricks/02_Config_Connection"". Either it does not exist, or the identity used to run this job, Prathamesh Patil (prathameshbpatil8512@gmail.com), lacks the required permissions.. For more details please check the run page url: https://adb-7405611128607291.11.azuredatabricks.net/?o=7405611128607291#job/129637702901471/run/52319627362515.","Original","","[]","7f7c98e2-f51d-4119-8304-0d4b72a2db2b"
"03_Databricks_Transformation","5/5/2026, 7:45:04 PM","5/5/2026, 7:47:14 PM","2m 10s","70d799a3-c7a0-4f24-a555-62ab23197ef2","Succeeded","","Original","","[]","710db9db-f6fa-4fa1-922d-4d6f54f03bcc"
